x = 1,50 | f(x) = 0,1051 | f'(x) = -0,3077
x = 1,55 | f(x) = 0,0905 | f'(x) = -0,2783
x = 1,60 | f(x) = 0,0773 | f'(x) = -0,2492
x = 1,65 | f(x) = 0,0655 | f'(x) = -0,2211
x = 1,70 | f(x) = 0,0551 | f'(x) = -0,1943
x = 1,75 | f(x) = 0,0460 | f'(x) = -0,1692
x = 1,80 | f(x) = 0,0381 | f'(x) = -0,1460
x = 1,85 | f(x) = 0,0314 | f'(x) = -0,1249
x = 1,90 | f(x) = 0,0256 | f'(x) = -0,1058
x = 1,95 | f(x) = 0,0207 | f'(x) = -0,0889
x = 2,00 | f(x) = 0,0167 | f'(x) = -0,0741
x = 2,05 | f(x) = 0,0133 | f'(x) = -0,0612
x = 2,10 | f(x) = 0,0105 | f'(x) = -0,0501
x = 2,15 | f(x) = 0,0082 | f'(x) = -0,0407
x = 2,20 | f(x) = 0,0064 | f'(x) = -0,0327
x = 2,25 | f(x) = 0,0049 | f'(x) = -0,0261
x = 2,30 | f(x) = 0,0038 | f'(x) = -0,0206
x = 2,35 | f(x) = 0,0028 | f'(x) = -0,0161
x = 2,40 | f(x) = 0,0021 | f'(x) = -0,0125
x = 2,45 | f(x) = 0,0016 | f'(x) = -0,0096
x = 2,50 | f(x) = 0,0012 | f'(x) = -0,0073
x = 2,55 | f(x) = 0,0008 | f'(x) = -0,0055
x = 2,60 | f(x) = 0,0006 | f'(x) = -0,0041
x = 2,65 | f(x) = 0,0004 | f'(x) = -0,0030
x = 2,70 | f(x) = 0,0003 | f'(x) = -0,0022
x = 2,75 | f(x) = 0,0002 | f'(x) = -0,0016
x = 2,80 | f(x) = 0,0001 | f'(x) = -0,0011
x = 2,85 | f(x) = 0,0001 | f'(x) = -0,0008
x = 2,90 | f(x) = 0,0001 | f'(x) = -0,0005
x = 2,95 | f(x) = 0,0000 | f'(x) = -0,0003
x = 3,00 | f(x) = 0,0000 | f'(x) = -0,0002
x = 3,05 | f(x) = 0,0000 | f'(x) = -0,0001
x = 3,10 | f(x) = 0,0000 | f'(x) = -0,0001
x = 3,15 | f(x) = -0,0000 | f'(x) = -0,0000
x = 3,20 | f(x) = -0,0000 | f'(x) = -0,0000
